기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,11110515,청운효자동,CS300002,편의점,979543491,145353,716912084,262631407,141251576,132836535,136124685,143707815,162991473,139209143,123422264,64646242,210353776,147542404,139166280,268846007,148988782,595836065,321162236,10788412,115674722,283091640,192418812,188857818,126166896,105384,39969,20477,18866,21196,22044,22801,21127,18842,8655,32234,25632,22596,36565,19671,91771,48313,2738,20840,43418,29158,27971,15960
20251,11110530,사직동,CS300002,편의점,4046785046,617340,3075885997,970899049,577267688,557058042,599226104,648069721,694264442,563545202,407353847,122347860,876185924,764471141,762036525,1102545193,419198403,2159575586,1731029824,37024080,681251364,1170328482,850432842,770319454,381249184,479267,138073,90696,89373,94837,100684,103677,81204,56869,15433,175002,124419,109422,141590,51474,343928,261521,8846,112362,191033,129582,107743,55884
20251,11110540,삼청동,CS300002,편의점,479984161,91210,331020306,148963855,67783582,61333005,62840167,74917106,64146446,80134702,68829153,9704219,96146278,116728806,122329667,108411924,26663267,264211100,170767413,2612869,78993510,118432298,96799768,84568565,53571506,62322,28888,13094,11301,11695,13255,12977,15370,13518,1023,17334,24983,25691,18897,3282,51366,34213,853,16868,24022,15814,16322,11699
20251,11110550,부암동,CS300002,편의점,605666341,93546,456954188,148712153,90502167,90097134,98774162,84441686,93139039,82720311,65991842,33935154,86265428,123624803,112480398,174994624,74365934,352611116,239552057,16241174,96969088,106675689,129844587,162980096,79452542,73039,20507,14615,14919,15812,13990,13703,11200,9307,4248,16130,23994,18876,21048,9250,51750,41339,4987,22320,16357,17708,20072,11645
20251,11110560,평창동,CS300002,편의점,508465452,64644,357298501,151166951,69297286,59374315,84355093,64545364,79726443,77520822,73646129,39324980,83502087,77321605,78356314,142242310,87718156,309236733,168188331,5616802,53492483,74457129,119587351,127700434,96570860,44726,19918,9247,8009,8744,8880,9846,10257,9661,4566,12560,10320,10733,16822,9643,40217,22458,1430,8583,10573,13728,15323,13039
20251,11110570,무악동,CS300002,편의점,725109343,120151,498173852,226935491,94335584,84252344,100573448,101224117,117788359,112920359,114015132,82414326,143164148,119393453,117851613,160873568,101412235,513741989,211367354,5969372,91885698,175069812,107278694,159574646,185331121,80781,39370,15254,14331,16967,16670,17559,20098,19272,12717,26884,20063,19767,25796,14924,81135,39016,1669,18289,29304,19359,26599,24931
20251,11110580,교남동,CS300002,편의점,452006774,62548,332504312,119502462,65748019,60399916,66881682,67842453,71632242,60307913,59194549,37139010,93763460,48141554,60331035,131859056,80772659,266714576,132493205,5656682,45147159,98748543,108023696,91350145,50281556,47847,14701,9538,8805,9451,10086,9967,7491,7210,5339,13426,8370,9384,16165,9864,38951,19108,1739,7958,14819,14578,12945,6019
20251,11110600,가회동,CS300002,편의점,754221286,110358,583042896,171178390,108093396,116880165,108322619,120259253,129487463,99498715,71679675,56663460,208547112,130583794,121458616,157143562,79824742,471544162,196686636,3636121,79830538,184157017,169618260,137517602,93471258,86013,24345,16037,16576,17153,18104,18143,13601,10744,6770,32705,20176,19056,21894,9757,72520,32664,977,16992,30267,24620,18862,13464
20251,11110615,종로1·2·3·4가동,CS300002,편의점,10114049170,1508544,7487457673,2626591497,1448721110,1333684520,1442809109,1532969301,1729273633,1571308105,1055283392,880362816,1763721740,1592670256,1587634633,2687640452,1602019273,6386767752,3182285994,49548082,1721422094,2841019819,2024393279,1795275931,1137394544,1129144,379400,218220,205981,218810,233435,252698,228868,150532,115474,310430,271237,243939,368393,199071,982733,484001,9178,291047,451546,292759,260084,162132
20251,11110630,종로5·6가동,CS300002,편의점,2722293379,418506,2143881173,578412206,408428599,395954664,421164792,450429061,467904057,323988032,254424174,198104583,645949183,461138771,420882688,647802051,348416103,1812573057,807937925,17203544,353052262,681103034,612690257,577448152,379013731,330562,87944,63688,61541,65153,68494,71686,48712,39232,23272,111801,80150,65307,93802,44174,276137,135219,4014,67444,117719,88679,80274,53229
