기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,U,관광특구,3001491,이태원 관광특구,CS300002,편의점,4591515085,717870,2813895325,1777619760,530636953,464938874,554848756,563907477,699563265,946052467,831567293,1071950199,637749109,541924014,583156910,904758805,851976048,2992625821,1497671997,23600039,1271228780,1795102730,689474130,424843083,286049054,431621,286249,81433,71787,86596,84446,107359,153722,132527,163117,106465,93579,96834,138797,119078,462610,246615,5272,226031,284019,90783,62289,40831
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300002,편의점,16034124142,2222993,13099796652,2934327490,2534147058,2439362014,2465407952,2697150730,2963728898,1713649288,1220678202,388166289,3438267562,3562817702,3325036196,4049357023,1270479370,8290261797,6867580414,78522520,2901666807,4977520019,3516438774,2587331804,1096362282,1910817,312176,378093,355826,368339,396889,411670,184141,128035,50427,667208,529130,423365,427125,125738,1317518,838310,11269,375614,761319,513674,352874,141076
20251,U,관광특구,3001493,동대문패션타운 관광특구,CS300002,편의점,4590418070,591191,3367135089,1223282981,666246013,593295672,683926955,683037491,740628958,642503056,580779925,428718251,595333091,676209270,732748525,1445462632,711946301,2287636582,2245691614,35239234,1069760303,1441959979,895193532,761701027,329474123,441164,150027,90124,81259,87213,89970,92598,77427,72600,64719,108430,88417,88607,159036,81982,325389,261876,4755,134399,185578,116895,93518,52120
20251,U,관광특구,3001494,종로·청계 관광특구,CS300002,편의점,4267590896,612863,3194950728,1072640168,600851195,562461521,632633097,663555732,735449183,635745732,436894436,378163537,693576090,701442505,680626879,1159844810,653937075,2667595814,1488701170,18614725,810511775,1194961674,880242497,732294924,519671381,461522,151341,87751,83185,91686,95472,103428,89255,62086,51797,120916,112269,97356,151067,79458,401822,202741,3579,126664,176186,118097,103625,76417
20251,U,관광특구,3001495,잠실 관광특구,CS300002,편의점,12513275641,1698212,8063249205,4450026436,1590164144,1396385840,1590901291,1611489261,1874308669,2401962111,2048064325,792923796,1264405115,1828259216,2476937487,4108689974,2042060053,6103965040,6239422180,142652970,3324025039,4382003411,2394034368,1392284359,708387069,1107618,590594,213689,195005,216509,223490,258925,312155,278439,94677,221384,279748,346844,511896,243663,863662,823384,24484,477940,600869,309193,177955,96606
20251,U,관광특구,3001496,강남 마이스 관광특구,CS300002,편의점,5443817723,381561,3804761730,1639055993,699538360,661532358,762734229,769490562,911466221,841224696,797831297,1258264,322546003,1218340845,1430838267,2151307347,319526997,1723105920,3493985327,42298150,1208284833,1617570621,1043045591,845953662,459938390,283526,98035,53423,50102,56565,59022,64414,51746,46289,180,53862,95607,91963,121101,18848,148939,217319,3261,86346,125922,76270,50516,23944
20251,A,골목상권,3110003,세검정초등학교,CS300002,편의점,188229302,23933,133010024,55219278,23903496,23377310,38318180,19661114,27749924,27155196,28064082,20447764,27187640,30674560,23132724,45679974,41106640,108705088,66993331,3080308,27459478,34640439,51501073,35597203,23419917,16793,7140,3473,3164,3462,3222,3472,3450,3690,2525,4330,2959,3473,5620,5026,14605,9213,713,4446,4890,5789,4306,3675
20251,A,골목상권,3110012,성곡미술관,CS300002,편의점,210094195,33042,167709037,42385158,32506409,29864552,31259728,34320269,39758079,20153867,22231291,10066486,45535795,54902402,31476714,47795962,20316836,115021347,78335119,882113,26969122,81127611,43492921,29351286,11533414,27844,5198,5188,5432,5004,5994,6226,2334,2864,806,8958,10048,5137,6055,2038,17184,14656,306,5840,13483,5891,4719,1601
20251,A,골목상권,3110016,평창동동측,CS300002,편의점,55361562,6149,40071780,15289782,8109394,5902147,8319051,7893960,9847228,7657891,7631891,0,5948782,9281817,12383323,18549850,9197790,40058413,13280052,94422,6104717,7683400,6896408,15157379,17402136,4539,1610,950,817,734,990,1048,817,793,0,1098,1387,1295,1832,537,4154,1739,8,930,1377,902,1499,1177
20251,A,골목상권,3110020,서울국제고등학교,CS300002,편의점,179832900,34050,126059211,53773689,25656884,23117776,25111678,24482776,27690097,28141526,25632163,22507606,24857144,23606072,21634083,54725757,32502238,111990424,67842476,2831143,62666875,49033182,22352707,29644577,13304416,24442,9608,5102,4554,4927,4789,5070,5126,4482,3887,5252,5401,4139,9524,5847,21089,12961,732,14381,8148,2862,5219,2708
20251,A,골목상권,3110021,성균관대학교,CS300002,편의점,327599397,53405,221436339,106163058,39110733,41746347,44716222,45953227,49909810,56283416,49879642,40816547,41522663,43989425,42632968,85255724,73382070,218971937,108627460,3523718,103601420,60508726,58862272,70515300,30587961,36334,17071,6710,6576,7542,7665,7841,9228,7843,6755,7240,7483,7667,13093,11167,34817,18588,779,19001,10684,7847,10665,4429
20251,A,골목상권,3110028,이화달팽이길,CS300002,편의점,2748547530,386775,2053621544,694925986,383290717,407786975,425631576,399844476,437067800,383312861,311613125,216309662,459649200,429883956,445061701,758746217,438896794,1819972582,839997181,18279170,393853539,751626795,684108418,541314392,270787447,289307,97468,57362,55715,58733,58004,59493,52052,45416,29763,72365,71527,62754,93976,56390,248460,129781,4800,69021,114859,76412,79544,33604
20251,A,골목상권,3110037,신설동역 12번,CS300002,편의점,353490057,52545,265792307,87697750,49373773,52227479,52488972,55638309,56063774,45465614,42232136,25487366,58034803,41936846,53317965,111805556,62907521,253885151,99604906,4235301,39076199,134785059,82463770,54102204,38827524,40838,11707,7637,7194,8540,8462,9005,6056,5651,3525,9805,7452,8079,15236,8448,37832,14713,1620,6909,20019,12411,7331,4255
20251,A,골목상권,3110038,경향신문사,CS300002,편의점,321995155,38670,265160308,56834847,45998745,45891342,52763640,61601409,58905172,32096032,24738815,3207826,46817680,93306445,70685025,89951284,18026895,128180164,184228896,3892780,52685553,97513714,78504801,53167223,26644989,31340,7330,5866,5618,6324,6733,6799,4029,3301,473,8562,10406,7753,9596,1880,19751,18424,984,5893,11348,9968,6619,3363
20251,A,골목상권,3110041,남산케이블카,CS300002,편의점,91613453,12438,67859445,23754008,11960397,12363177,15000843,16064234,12470794,14461885,9292123,12850763,18759218,15615736,13123508,17295582,13968646,66998500,20868861,190412,11635251,19332587,22687506,22391980,11629625,9601,2837,1920,1657,2107,2163,1754,1735,1102,955,2972,2856,1940,2321,1394,8441,3715,49,1755,3183,2326,2878,1964
20251,A,골목상권,3110043,충무초등학교,CS300002,편의점,613090077,85819,425222130,187867947,78061653,67099854,87210048,90992486,101858089,96879774,90988173,56185817,96634602,83715448,87962220,162975930,125616060,359452185,202758393,7554541,187292831,161975327,86896462,87770604,30720812,61750,24069,11858,10343,12933,12848,13768,12316,11753,6946,16132,13711,13478,21182,14370,50868,30561,1390,29901,20556,11712,12789,5081
20251,A,골목상권,3110053,청구역 1번,CS300002,편의점,803152101,107390,602265833,200886268,116851749,118317343,124721152,114978106,127397483,116119904,84766364,89155356,151509100,108368447,107565196,202279719,144274283,567663682,235488419,906586,94926034,217919749,132410442,235587634,121401656,81227,26163,16118,15460,17106,15445,17098,14543,11620,10672,24599,15253,14812,25537,16517,76627,30763,235,15814,27652,18985,30017,14687
20251,A,골목상권,3110054,청구역 3번,CS300002,편의점,319303059,46624,227319371,91983688,46319793,37362627,47393119,45831621,50412211,48084478,43899210,24855148,49385726,51688555,54512046,91033398,47828186,206454896,107051097,796475,47418669,95629519,78029410,67791644,23840277,33958,12666,7274,5575,7058,6828,7223,6448,6218,3249,9252,7405,7603,12601,6514,30040,16222,184,8323,13974,10339,9771,3671
20251,A,골목상권,3110058,성심여자고등학교,CS300002,편의점,219756784,27707,157868457,61888327,28633212,28225481,34263137,29191901,37554726,33839924,28048403,15417958,34838558,31228309,32386803,62964380,42920776,133455842,80255970,2476284,21571803,56255093,55727211,39223126,38458295,19828,7879,3786,3649,3975,3891,4527,3936,3943,2055,4944,3777,3971,7752,5208,16930,10694,574,3917,8127,5385,4657,4963
20251,A,골목상권,3110060,효창공원앞역 6번,CS300002,편의점,293436731,41308,208739085,84697646,41420710,36854579,46124807,40102178,44236811,44098788,40598858,35405726,44641645,40347893,36802302,69302304,66936861,186890038,101665373,1622211,47537719,92315854,69696880,46486559,30896188,29776,11532,5710,5354,6348,6009,6355,6053,5479,4326,7732,5909,5515,9645,8181,26955,13918,518,7821,13921,8511,5822,4279
20251,A,골목상권,3110064,효창공원앞역 2번,CS300002,편의점,189149506,28452,131004212,58145294,23760124,22675938,25919267,28258034,30390849,30737315,27407979,16288299,25785436,22284742,29011940,52228589,43550500,114934520,71855337,2827953,36828936,45063966,38830265,39096498,24142238,20232,8220,3995,3492,3962,4402,4381,4371,3849,1896,4401,3975,4712,7772,5696,15109,13106,893,6905,6215,5412,5320,3469
20251,A,골목상권,3110066,서울역 15번,CS300002,편의점,1109722225,154510,826812139,282910086,156287882,151645282,172117792,154230677,192530506,141506581,141403505,119370697,209103618,186250843,136664623,277586382,180746062,790473621,319248604,7393160,147022726,276470661,220316553,320296292,138222833,117259,37251,22560,21688,23290,23019,26702,19669,17582,12457,33877,26627,21306,37390,22853,106677,47833,1069,21746,44998,33510,31493,21694
20251,A,골목상권,3110067,배문고등학교,CS300002,편의점,198529700,25240,141692942,56836758,26945514,27693480,27246383,28917712,30889853,29101431,27735327,12361037,23208753,30015290,27370487,67113563,38460570,115471764,74106388,1870204,23636358,50651943,34553639,51711825,27154183,18367,6873,3747,3571,3590,3662,3797,3366,3507,1138,3645,4261,3758,8028,4410,14871,9449,447,3787,7278,4340,5019,3450
20251,A,골목상권,3110068,남영역 1번,CS300002,편의점,957708866,151276,685746098,271962768,125868926,126289107,137365052,138076747,158146266,138597883,133364885,86577943,147565973,128716200,116086583,254443144,224319023,591454757,366254109,19617106,225285755,362788245,162074000,126710105,61233655,108491,42785,21163,19584,21549,22487,23708,21755,21030,11479,32175,21292,19417,39112,27801,86794,64482,6965,39593,52036,22202,20464,10016
