상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log
3001491,이태원 관광특구,5327001941.5,845856.75,4,22.39605442953298
3001492,명동 남대문 북창동 다동 무교동 관광특구,17513841279.25,2446175.75,4,23.586257335555338
3001493,동대문패션타운 관광특구,5215787363.25,667359.75,4,22.37495589468344
3001494,종로·청계 관광특구,4882004313.25,723317.75,4,22.30882169262224
3001495,잠실 관광특구,13463960241.25,1869892.0,4,23.323282340937656
3001496,강남 마이스 관광특구,5855352384.0,405939.25,4,22.49062201749673
3110003,세검정초등학교,202145361.75,27703.0,4,19.12449761413916
3110012,성곡미술관,259077851.0,40039.0,4,19.372639161369214
3110016,평창동동측,46638758.5,5402.0,2,17.657942502311457
3110020,서울국제고등학교,192223845.5,36378.0,4,19.074171118084177
3110021,성균관대학교,367992005.5,60500.0,2,19.7235717744299
3110028,이화달팽이길,2896545033.25,420599.75,4,21.786784496196418
3110037,신설동역 12번,382237793.75,57702.0,4,19.761553472244053
3110038,경향신문사,473093516.0,60850.0,4,19.9748036372735
3110041,남산케이블카,99592688.75,15523.0,4,18.416599323776865
3110043,충무초등학교,583154691.5,83248.75,4,20.183963047883672
3110053,청구역 1번,726547589.0,96318.5,4,20.403814544679165
3110054,청구역 3번,324632608.0,47914.75,4,19.598204667025588
3110058,성심여자고등학교,134942820.5,17114.25,4,18.720361702237977
3110060,효창공원앞역 6번,318574343.5,45967.5,4,19.57936642646025
3110064,효창공원앞역 2번,245634699.0,38166.75,4,19.319356030902195
3110066,서울역 15번,1172889284.0,171527.0,4,20.882736015973833
3110067,배문고등학교,204877190.0,26705.75,4,19.13792128929689
3110068,남영역 1번,1052184949.75,174823.75,4,20.77413474450711
3110069,숙대입구,530500068.5,91355.75,4,20.089330647026785
3110074,서울역 12번,993000000.0,17824.5,4,20.716241223016496
3110075,숙대입구역 1번,234220803.5,36625.0,4,19.27177483737725
3110079,후암동주민센터,482447354.25,70497.0,4,19.994382364500417
3110080,해방촌예술마을,166735303.75,25211.25,4,18.931918111440275
3110081,해방촌 남동측,659193084.0,93243.5,4,20.306527046516653
3110084,경리단길북측,276594345.5,35507.75,4,19.438062537723575
3110085,경리단길남측,1224835463.25,151059.75,4,20.92607235702409
3110088,오산고등학교,537462503.25,68269.5,4,20.1023695559979
3110090,한국폴리텍대학서울정수캠퍼스,150336396.25,19800.0,4,18.828385989411554
3110095,한강진역 3번,212551600.25,34813.5,4,19.174695346262222
3110102,옥수역 6번,219344276.75,34918.25,4,19.20615309793282
3110115,상왕십리역 3번,218241328.75,29226.75,4,19.20111202566349
3110124,뚝섬역교차로,795175369.25,119059.75,4,20.49407323980131
3110125,사근동살곶이상점가,361312930.0,63478.25,4,19.705254985679463
3110128,성원중학교,640397031.75,85852.0,4,20.27759890564387
3110131,성수동카페거리,594770246.0,102376.5,4,20.203685749443054
3110134,성수119안전센터,1653168962.75,217076.25,4,21.225959866986237
3110136,경수초등학교,131950923.25,23306.25,4,18.697940625436253
3110137,성수초등학교,2540534842.75,419714.25,4,21.655640464215953
3110139,자양4동주민센터,530746470.25,73022.0,4,20.08979500991508
3110140,건대입구역 6번,1312802484.5,204441.25,4,20.995429991019897
3110141,건대입구역 1번,436053099.0,65954.75,4,19.893274582888456
3110142,화양사거리,1575113008.25,221676.5,4,21.177592858554725
3110144,어린이대공원역 4번,99927039.0,16961.75,4,18.419950877664757
3110145,장안초등학교,333591416.75,60167.75,4,19.625427501948877
3110146,신자초등학교,173428171.25,21925.75,4,18.971274078837123
3110147,능동우편취급국,492651764.5,75974.5,4,20.015313124406433
3110150,중곡1동 마을마당,136683308.5,19826.0,4,18.73317719840959
3110151,자양한강도서관,667881568.0,93004.0,4,20.319621423866682
3110154,광진정말공원,419933345.25,59709.0,4,19.855606557242844
3110155,광진구청,331812653.75,51916.5,4,19.620081074685906
3110156,군자역 5번,335415349.0,51571.0,4,19.630880172555393
3110157,자양동우체국,269705882.5,38072.0,4,19.412842602851622
3110158,중곡3동주민센터,224963196.75,28571.25,4,19.231447381234833
3110159,구의역 4번,394887674.0,58926.0,4,19.794111915336803
3110162,군자역 4번,442851354.25,62483.25,4,19.908744730506477
3110163,성자초등학교,323374668.25,43693.0,4,19.594322175663606
3110165,국립정신건강센터,412306254.5,51671.5,4,19.837276969766737
3110166,구의1동주민센터,460808980.5,67312.25,4,19.948494158258438
3110167,용마초등학교,457597969.75,57512.75,4,19.941501563470204
3110168,대원고등학교,136122634.75,21704.0,4,18.729066770838838
3110169,성동초등학교,248125699.5,34575.25,4,19.329446032575547
3110170,동대부여고,61704535.5,8243.5,2,17.937868011294334
3110172,광진초등학교,498799820.25,66644.0,4,20.02771541341003
3110174,아차산역 1번,338260637.75,44552.75,4,19.639327276848718
3110176,해오름공원,214777658.25,27166.0,4,19.185113907973843
3110180,광진정보도서관,148674838.0,21437.0,1,18.817272190657405
3110181,신설동역 9번,192174000.75,33648.0,4,19.073911778701785
3110182,용두희망어린이공원,134031702.25,18848.25,4,18.71358692134976
3110187,제기동역 6번,670660430.5,96202.5,4,20.323773503504388
3110188,용두동신동아아파트,221721836.0,33913.0,1,19.216934167706164
3110189,제기동역 1번,415644507.75,54469.0,4,19.845340906618688
3110190,고대앞사거리,427118583.5,66519.75,4,19.872572248093775
