상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log,편의점_점포수,점포당_평균매출,점포당_평균매출_log
3001491,이태원 관광특구,5327001941.5,845856.75,4,22.39605442953298,17,313353055.38235295,19.56284108848033
3001492,명동 남대문 북창동 다동 무교동 관광특구,17513841279.25,2446175.75,4,23.586257335555334,76,230445279.9901316,19.255523999551336
3001493,동대문패션타운 관광특구,5215787363.25,667359.75,4,22.37495589468344,27,193177309.75,19.079119033663975
3001494,종로·청계 관광특구,4882004313.25,723317.75,4,22.30882169262224,40,122050107.83125,18.619942246496823
3001495,잠실 관광특구,13463960241.25,1869892.0,4,23.323282340937656,48,280499171.6927083,19.452081333520567
3001496,강남 마이스 관광특구,5855352384.0,405939.25,4,22.49062201749673,8,731919048.0,20.41118047701238
3110003,세검정초등학교,202145361.75,27703.0,4,19.12449761413916,3,67381787.25,18.025885335364922
3110012,성곡미술관,259077851.0,40039.0,4,19.37263916136921,1,259077851.0,19.372639161369214
3110020,서울국제고등학교,192223845.5,36378.0,4,19.074171118084177,5,38444769.1,17.46473322645915
3110021,성균관대학교,367992005.5,60500.0,2,19.7235717744299,2,183996002.75,19.030424596587405
3110028,이화달팽이길,2896545033.25,420599.75,4,21.786784496196415,4,724136258.3125,20.400490136112243
3110037,신설동역 12번,382237793.75,57702.0,4,19.761553472244053,2,191118896.875,19.068406294300278
3110038,경향신문사,473093516.0,60850.0,4,19.9748036372735,3,157697838.66666666,18.876191352832883
3110041,남산케이블카,99592688.75,15523.0,4,18.416599323776865,4,24898172.1875,17.030304992779666
3110043,충무초등학교,583154691.5,83248.75,4,20.183963047883672,6,97192448.58333333,18.39220358722967
3110053,청구역 1번,726547589.0,96318.5,4,20.403814544679165,7,103792512.71428572,18.457904403882083
3110054,청구역 3번,324632608.0,47914.75,4,19.598204667025588,3,108210869.33333333,18.49959238451829
3110058,성심여자고등학교,134942820.5,17114.25,4,18.720361702237977,8,16867852.5625,16.64092021243196
3110060,효창공원앞역 6번,318574343.5,45967.5,4,19.57936642646025,3,106191447.83333333,18.480754144070108
