grid_id,행정동,lat,lon,score_log,competitor_cnt_300m,food_cnt_300m,edu_cnt_300m,bus_stop_cnt_300m,subway_dist_m,subway_monthly_traffic,total_biz_cnt_300m,building_cnt,위반건축물_수
G100_051921,상봉2동,37.59652485411266,127.08635876999695,21.182137337187214,15,236,34,6,117.65112257209154,1452600.0,674,29,0
G100_051899,면목4동,37.576695596900535,127.08646848418452,21.052086775788933,12,143,29,6,338.9987808268109,344728.0,498,57,2
G100_051623,면목4동,37.575790292951766,127.08534100387627,20.885471802495516,11,121,29,6,267.4373465527581,344728.0,415,63,2
G100_051644,상봉2동,37.594718221955866,127.08523599693436,20.850564044601747,19,252,31,7,104.27612809970957,1452600.0,740,49,2
G100_054018,망우본동,37.5965562662441,127.09542100873782,20.84897050008417,13,203,25,12,454.35112438389615,457131.0,640,65,0
G100_054249,망우본동,37.596560143838495,127.09655378956523,20.819280387600756,14,220,26,10,527.4011588436604,457131.0,700,63,1
G100_052193,상봉2동,37.595627490132784,127.08749652474708,20.800552171408345,17,290,33,5,157.2822106061331,1452600.0,743,49,0
G100_052726,상봉2동,37.59473405745589,127.08976700436158,20.795662823708334,12,265,20,4,369.6457193016392,1452600.0,575,64,5
G100_053794,신내2동,37.61457893485484,127.0941903082631,20.769621786957362,4,34,23,12,388.0765786155127,483378.0,170,6,0
G100_050246,중화1동,37.60461278095043,127.0795164482347,20.765890346127303,9,149,32,8,230.49274565126598,669568.0,490,22,0
